ts,dt,hr,connection_type,org_id,venue_id,device_serial,network_id,band,mac,infra_id,infra_category,ssid,bssid,connected,tx_duration,rx_duration,tx_bytes,rx_bytes,tx_packets,tx_failed,tx_retries,rx_packets,rssi_min,rssi_max,rssi_avg,ack_rssi_min,ack_rssi_max,ack_rssi_avg,tx_phyrate_min,tx_phyrate_max,tx_phyrate_avg,rx_phyrate_min,rx_phyrate_max,rx_phyrate_avg,tx_chwidth_min,tx_chwidth_max,rx_chwidth_min,rx_chwidth_max,port,vlan
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,74:8F:3C:C3:1C:17,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet8,1
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,E4:9D:73:62:5C:16,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet19,1
2024-09-03 07:45:00,2024-09-03,7,wired,36,63,b46ad439c560,,,14:44:8F:1F:BE:0A,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet12,1
2024-09-03 07:45:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,08:84:9D:00:C7:E7,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet9,1
2024-09-03 07:50:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,D6:BA:BA:A1:54:44,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,28:66:E3:62:35:05,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet8,1
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,34:7E:5C:D5:3C:9C,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet2,1
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,E0:01:A6:80:7F:86,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet18,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,20:D7:78:AC:CA:D4,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,1264,d077cebd6518,,,CC:CF:83:EA:BE:80,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,100
2024-09-03 07:45:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,54:E0:19:0E:13:53,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet9,1
2024-09-03 07:45:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,00:18:61:41:A1:A3,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet11,1
2024-09-03 07:45:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,D4:68:4D:18:50:F0,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet20,1
2024-09-03 07:45:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,E4:9D:73:62:5C:17,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet19,1
2024-09-03 07:50:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,A6:2A:CE:7A:06:2A,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:50:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,D8:B3:70:96:98:A4,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet1,1
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,60:3E:5F:33:4D:B6,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet8,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,90:48:6C:ED:DB:0E,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,B4:B0:24:3A:77:14,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,D6:BA:BA:A1:54:43,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,1264,d077cebd6518,,,78:9A:18:27:76:47,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet7,300
2024-09-03 07:45:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,B8:E9:37:8E:3A:E0,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet4,1
2024-09-03 07:50:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,3C:E4:41:CC:0E:D3,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:50:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,54:E0:19:9C:AD:4B,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:50:00,2024-09-03,7,wired,36,63,b46ad439c560,,,B8:06:0D:09:70:0E,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet20,1
2024-09-03 07:50:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,44:35:83:52:1A:63,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet9,1
2024-09-03 07:50:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,A4:13:4E:BC:7E:68,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet9,1
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,D8:28:C9:9B:D8:1F,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet20,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,1264,d077cebd6518,,,24:FE:9A:0F:51:B9,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet2,1
2024-09-03 07:45:00,2024-09-03,7,wired,36,63,b46ad439c560,,,C8:69:CD:7A:BA:CF,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet16,1
2024-09-03 07:45:00,2024-09-03,7,wired,36,63,b46ad439c560,,,CC:9E:A2:B5:80:CD,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet12,1
2024-09-03 07:45:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,D8:B3:70:96:98:A5,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet1,1
2024-09-03 07:50:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,00:1A:AE:12:A8:29,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet9,1
2024-09-03 07:50:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,18:B4:30:99:1F:6E,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet8,1
2024-09-03 07:45:00,2024-09-03,7,wired,17,297,b46ad437ef60,,,5C:E9:1E:99:AF:E4,2779,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet0,1
2024-09-03 07:45:00,2024-09-03,7,wired,5849,11682,5c17834a9ac0,,,E0:01:A6:80:7F:86,6083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet18,1
2024-09-03 07:50:00,2024-09-03,7,wired,36,63,b46ad439c560,,,A4:CF:99:74:FC:F1,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet12,1
2024-09-03 07:50:00,2024-09-03,7,wired,36,63,b46ad439c560,,,D0:52:A8:45:25:D4,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet23,1
2024-09-03 07:50:00,2024-09-03,7,wired,36,63,b46ad439c560,,,F4:E2:C6:76:EE:5F,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet20,1
2024-09-03 07:50:00,2024-09-03,7,wired,37,65,d077cebd62f8,,,08:84:9D:00:C7:E7,1256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet9,1
