mac,temperature1,temperature2,uptime,cpu1,cpu2,cpu3,cpu4,cpu5,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_buffered,mem_cached,mem_free,mem_total,num_ifaces,sanity,health_mem
903cb3bb245d,47,48,1815375,1,2,1,1,1,0.0,0.0,0.0,9318400,26906624,799547392,973131776,1,100,18
903cb3bb245d,47,48,1815435,1,2,1,1,1,0.0,0.0,0.0,9318400,26906624,799715328,973131776,1,100,18
903cb3bb245d,47,48,1815496,1,2,1,1,1,0.035645,0.012207,0.000977,9318400,26906624,799399936,973131776,1,100,18
903cb3bb245d,47,48,1815556,1,2,1,1,1,0.010742,0.006348,0.0,9318400,26906624,799535104,973131776,1,100,18
903cb3bb245d,47,48,1815616,1,2,1,1,1,0.002441,0.000488,0.0,9318400,26906624,799485952,973131776,1,100,18
903cb3bb245d,47,48,1815676,1,2,1,1,1,0.0,0.0,0.0,9318400,26906624,799272960,973131776,1,100,18
903cb3bb245d,47,48,1815736,1,2,1,1,1,0.0,0.0,0.0,9318400,26906624,799121408,973131776,1,100,18
903cb3bb245d,47,48,1815796,1,2,1,1,1,0.0,0.0,0.0,9318400,26906624,799485952,973131776,1,100,18
903cb3bb245d,47,48,1815856,1,3,1,1,1,0.0,0.0,0.0,9318400,26906624,799973376,973131776,1,100,18
903cb3bb245d,47,48,1815916,1,3,1,1,1,0.032715,0.011719,0.000488,9318400,26906624,799793152,973131776,1,100,18
903cb3bb245d,47,48,1815976,1,2,1,1,1,0.009766,0.005859,0.0,9318400,26906624,799936512,973131776,1,100,18
903cb3bb245d,47,48,1816036,1,2,1,1,1,0.001953,0.0,0.0,9318400,26906624,799858688,973131776,1,100,18
903cb3bb245d,47,48,1816096,1,3,1,1,1,0.0,0.0,0.0,9318400,26906624,799916032,973131776,1,100,18
903cb3bb245d,47,48,1816156,1,3,1,1,1,0.0,0.0,0.0,9318400,26906624,800116736,973131776,1,100,18
903cb3bb245d,47,48,1816216,2,3,1,1,1,0.0,0.0,0.0,9318400,26906624,799735808,973131776,1,100,18
903cb3bb245d,47,48,1816276,2,3,1,1,1,0.0,0.0,0.0,9318400,26906624,799686656,973131776,1,100,18
903cb3bb245d,48,49,1816337,1,3,1,1,1,0.0,0.0,0.0,9318400,26906624,799776768,973131776,1,100,18
903cb3bb245d,47,48,1816397,2,4,1,1,2,0.0,0.0,0.0,9318400,26906624,799879168,973131776,1,100,18
